SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+239s,8.192,16,10,protocol,7.5,320,0,0,672,0,0,0,0,0,0,0,0,0,0,0,2082.84,10
+240s,8.192,16,10,protocol,7.5,320,0,0,670,0,0,0,0,0,0,0,0,0,0,0,2077.24,10
+241s,8.192,16,10,protocol,7.5,330,0,0,672,0,0,0,0,0,0,0,0,0,0,0,2068.19,10
+242s,8.192,16,10,protocol,7.5,330,0,0,644,0,0,0,0,0,0,0,0,0,0,0,2063.3,10
+243s,8.192,16,10,protocol,7.5,330,0,0,649,0,0,0,0,0,0,0,0,0,0,0,2058.65,10
+244s,8.192,16,10,protocol,7.5,330,0,0,680,0,0,0,0,0,0,0,0,0,0,0,2054.11,10
+245s,8.192,16,10,protocol,7.5,330,0,0,722,0,0,0,0,0,0,0,0,0,0,0,2049.51,10
+246s,8.192,16,10,protocol,7.5,330,0,0,748,0,0,0,0,0,0,0,0,0,0,0,2045.39,10
+247s,8.192,16,10,protocol,7.5,330,0,0,770,0,0,0,0,0,0,0,0,0,0,0,2041.12,10
+248s,8.192,16,10,protocol,7.5,330,0,0,800,0,0,0,0,0,0,0,0,0,0,0,2037.26,10
+249s,8.192,16,10,protocol,7.5,330,0,0,808,0,0,0,0,0,0,0,0,0,0,0,2033.22,10
+250s,8.192,16,10,protocol,7.5,340,0,0,840,0,0,0,0,0,0,0,0,0,0,0,2027.75,10
+251s,8.192,16,10,protocol,7.5,370,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,2020.57,10
+252s,8.192,16,10,protocol,7.5,370,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,2014.09,10
+253s,8.192,16,10,protocol,7.5,370,0,0,1060,0,0,0,0,0,0,0,0,0,0,0,2008.8,10
+254s,8.192,16,10,protocol,7.5,370,0,0,1016,0,0,0,0,0,0,0,0,0,0,0,2004.48,10
+255s,8.192,16,10,protocol,7.5,370,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,2000.59,10
+256s,8.192,16,10,protocol,7.5,370,0,0,980,0,0,0,0,0,0,0,0,0,0,0,1996.73,10
+257s,6.656,13,10,protocol,7.5,370,0,0,945,0,0,0,0,0,0,0,0,0,0,0,1990.42,10
+258s,9.216,18,10,protocol,7.5,370,0,0,906,0,0,0,0,0,0,0,0,0,0,0,1986.55,10
+259s,8.192,16,10,protocol,7.5,370,0,0,964,0,0,0,0,0,0,0,0,0,0,0,1983.09,10
+260s,18.944,37,10,protocol,7.5,370,0,0,1018,0,0,0,0,0,0,0,0,0,0,0,1973.23,10
+261s,10.24,20,10,protocol,7.5,370,0,0,940,0,0,0,0,0,0,0,0,0,0,0,1967.34,10
+262s,10.24,20,10,protocol,7.5,370,0,0,934,0,0,0,0,0,0,0,0,0,0,0,1962.78,10
+263s,10.24,20,10,protocol,7.5,370,0,0,928,0,0,0,0,0,0,0,0,0,0,0,1958.52,10
+264s,10.24,20,10,protocol,7.5,370,0,0,920,0,0,0,0,0,0,0,0,0,0,0,1954.3,10
+265s,10.24,20,10,protocol,7.5,370,0,0,950,0,0,0,0,0,0,0,0,0,0,0,1948,10
+266s,10.24,20,10,protocol,7.5,370,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,1944.43,10
+267s,10.24,20,10,protocol,7.5,380,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,1939.49,10
+268s,10.24,20,10,protocol,7.5,380,0,0,1058,0,0,0,0,0,0,0,0,0,0,0,1935.96,10
+269s,10.24,20,10,protocol,7.5,380,0,0,1084,0,0,0,0,0,0,0,0,0,0,0,1932.27,10
+270s,10.24,20,10,protocol,7.5,380,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,1928.59,10
+271s,10.24,20,10,protocol,7.5,380,0,0,1238,0,0,0,0,0,0,0,0,0,0,0,1921.61,10
+272s,10.24,20,10,protocol,7.5,390,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,1915.14,10
+273s,9.216,18,10,protocol,7.5,390,0,0,1346,0,0,0,0,0,0,0,0,0,0,0,1906.77,10
+274s,8.192,16,10,protocol,7.5,390,0,0,1374,0,0,0,0,0,0,0,0,0,0,0,1899.46,10
+275s,9.728,19,10,protocol,7.5,390,0,0,1364,0,0,0,0,0,0,0,0,0,0,0,1894.43,10
+276s,10.24,20,10,protocol,7.5,390,0,0,1372,0,0,0,0,0,0,0,0,0,0,0,1890.87,10
+277s,10.24,20,10,protocol,7.5,390,0,0,1374,0,0,0,0,0,0,0,0,0,0,0,1887.12,10
+278s,10.24,20,10,protocol,7.5,390,0,0,1380,0,0,0,0,0,0,0,0,0,0,0,1883.58,10
+279s,10.24,20,10,protocol,7.5,390,0,0,1372,0,0,0,0,0,0,0,0,0,0,0,1880.23,10
+280s,10.24,20,10,protocol,7.5,390,0,0,1386,0,0,0,0,0,0,0,0,0,0,0,1876.14,10
+281s,10.24,20,10,protocol,7.5,390,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,1871.79,10
+282s,10.24,20,10,protocol,7.5,400,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,1866.74,10
+283s,10.24,20,10,protocol,7.5,400,0,0,1631,0,0,0,0,0,0,0,0,0,0,0,1862.93,10
+284s,10.24,20,10,protocol,7.5,400,0,0,1620,0,0,0,0,0,0,0,0,0,0,0,1858.72,10
+285s,10.24,20,10,protocol,7.5,400,0,0,1571,0,0,0,0,0,0,0,0,0,0,0,1854.79,10
+286s,10.24,20,10,protocol,7.5,400,0,0,1512,0,0,0,0,0,0,0,0,0,0,0,1851.06,10
+287s,10.24,20,10,protocol,7.5,400,0,0,1590,0,0,0,0,0,0,0,0,0,0,0,1847.77,10
+288s,10.24,20,10,protocol,7.5,400,0,0,1594,0,0,0,0,0,0,0,0,0,0,0,1844.37,10
+289s,10.24,20,10,protocol,7.5,400,0,0,1602,0,0,0,0,0,0,0,0,0,0,0,1841,10
+290s,10.24,20,10,protocol,7.5,400,0,0,1618,0,0,0,0,0,0,0,0,0,0,0,1837.73,10
+291s,10.24,20,10,protocol,7.5,400,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,1833.32,10
+292s,10.24,20,10,protocol,7.5,400,0,0,1722,0,0,0,0,0,0,0,0,0,0,0,1829.79,10
+293s,10.24,20,10,protocol,7.5,400,0,0,1602,0,0,0,0,0,0,0,0,0,0,0,1825.61,10
+294s,10.24,20,10,protocol,7.5,400,0,0,1542,0,0,0,0,0,0,0,0,0,0,0,1821.69,10
+295s,10.24,20,10,protocol,7.5,400,0,0,1424,0,0,0,0,0,0,0,0,0,0,0,1817.92,10
+296s,10.24,20,10,protocol,7.5,400,0,0,1366,0,0,0,0,0,0,0,0,0,0,0,1814.28,10
+297s,10.24,20,10,protocol,7.5,400,0,0,1392,0,0,0,0,0,0,0,0,0,0,0,1810.57,10
+298s,10.24,20,10,protocol,7.5,400,0,0,1386,0,0,0,0,0,0,0,0,0,0,0,1807.43,10
+299s,10.24,20,10,protocol,7.5,400,0,0,1363,0,0,0,0,0,0,0,0,0,0,0,1804.21,10
+300s,10.24,20,10,protocol,7.5,400,0,0,1366,0,0,0,0,0,0,0,0,0,0,0,1801.01,10
